"sample_id","Sample_geo_accession","subtype","group"
"BCC53","GSM4725965","Superficial","Other"
"BCC54","GSM4725966","Superficial","Other"
"BCC55","GSM4725967","Superficial","Other"
"BCC20","GSM4725968","Solid","Other"
"BCC3","GSM4725969","Solid","Other"
"BCC18","GSM4725970","Infiltrating","Infiltrating"
"BCC25","GSM4725971","Infiltrating","Infiltrating"
"BCC34","GSM4725972","Superficial","Other"
"BCC35","GSM4725973","Infiltrating","Infiltrating"
"BCC36","GSM4725974","Superficial","Other"
"BCC26","GSM4725975","Solid","Other"
"BCC27","GSM4725976","Solid","Other"
"BCC28","GSM4725977","Solid","Other"
"BCC29","GSM4725978","Infiltrating","Infiltrating"
"BCC49","GSM4725979","Solid","Other"
"BCC50","GSM4725980","Infiltrating","Infiltrating"
"BCC40","GSM4725981","Solid","Other"
"BCC5","GSM4725982","Infiltrating","Infiltrating"
"BCC8","GSM4725983","Solid","Other"
"BCC58","GSM4725984","Solid","Other"
"BCC59","GSM4725985","Solid","Other"
"BCC61","GSM4725986","Mixed","Other"
"BCC66","GSM4725987","Solid","Other"
"BCC67","GSM4725988","Infiltrating","Infiltrating"
"BCC12","GSM4725989","Solid","Other"
"BCC4","GSM4725990","Solid","Other"
"BCC2","GSM4725991","Superficial","Other"
"BCC6","GSM4725992","Solid","Other"
"BCC9","GSM4725993","Infiltrating","Infiltrating"
